"Date","Price","Open","High","Low","Vol.","Change %"
"May 27, 2022","401.50","393.90","408.30","385.85","6.12M","2.50%"
"May 26, 2022","391.70","383.50","392.55","375.70","4.93M","3.62%"
"May 25, 2022","378.00","362.00","382.00","356.50","3.71M","5.23%"
"May 24, 2022","359.20","366.85","367.00","350.00","3.59M","-2.14%"
"May 23, 2022","367.05","384.25","389.00","365.00","2.58M","-4.48%"
"May 20, 2022","384.25","400.35","402.70","380.30","2.04M","-3.84%"
"May 19, 2022","399.60","403.00","405.95","395.15","911.29K","-1.09%"
"May 18, 2022","404.00","397.35","406.00","395.70","2.42M","2.36%"
"May 17, 2022","394.70","382.90","395.40","381.10","2.14M","4.20%"
"May 16, 2022","378.80","375.00","383.00","374.00","1.39M","1.03%"
"May 13, 2022","374.95","379.00","379.00","367.50","954.97K","-0.01%"
"May 12, 2022","375.00","391.55","393.25","370.50","2.16M","-4.23%"
"May 11, 2022","391.55","393.85","396.35","388.60","989.95K","-0.19%"
"May 06, 2022","392.30","395.05","398.40","391.00","832.69K","-1.18%"
"May 05, 2022","397.00","397.20","403.05","396.80","870.25K","0.20%"
"May 04, 2022","396.20","410.00","414.85","394.60","1.75M","-3.13%"
"Apr 29, 2022","409.00","397.15","409.90","397.05","2.91M","2.25%"
"Apr 28, 2022","400.00","399.00","404.80","392.15","2.66M","0.52%"
"Apr 27, 2022","397.95","394.25","409.90","390.70","3.43M","1.78%"
"Apr 26, 2022","391.00","389.90","400.95","389.55","3.06M","0.64%"
"Apr 25, 2022","388.50","395.00","397.00","387.75","1.43M","-2.23%"
"Apr 22, 2022","397.35","388.00","407.30","385.70","2.56M","2.41%"
"Apr 21, 2022","388.00","393.30","398.70","385.05","1.85M","-0.77%"
"Apr 20, 2022","391.00","388.00","399.30","375.00","2.93M","1.56%"
"Apr 19, 2022","385.00","384.85","385.25","358.50","3.37M","0.04%"
"Apr 18, 2022","384.85","393.00","395.00","381.55","1.66M","-1.45%"
"Apr 15, 2022","390.50","392.45","395.95","380.00","1.79M","-0.13%"
"Apr 14, 2022","391.00","406.05","407.50","390.75","1.86M","-3.71%"
"Apr 13, 2022","406.05","413.20","417.50","401.55","1.90M","-1.47%"
"Apr 12, 2022","412.10","416.90","424.00","392.00","3.11M","-0.46%"
"Apr 11, 2022","414.00","403.30","427.95","399.05","5.48M","2.72%"
"Apr 08, 2022","403.05","409.50","416.00","395.35","2.30M","-1.33%"
"Apr 07, 2022","408.50","406.95","414.00","402.00","3.65M","0.86%"
"Apr 06, 2022","405.00","416.10","429.40","402.00","3.84M","-3.34%"
"Apr 05, 2022","419.00","445.50","451.15","391.45","5.78M","-5.61%"
"Apr 04, 2022","443.90","450.25","478.00","432.00","5.22M","-1.36%"
"Apr 01, 2022","450.00","441.00","484.00","430.35","6.25M","2.86%"
"Mar 31, 2022","437.50","393.00","440.00","387.15","7.61M","13.05%"
"Mar 30, 2022","387.00","390.00","392.00","375.00","2.29M","4.59%"
"Mar 29, 2022","370.00","363.90","417.95","348.20","6.44M","3.37%"
"Mar 28, 2022","357.95","355.00","369.00","341.20","2.65M","-1.96%"
"Mar 25, 2022","365.10","370.00","384.20","346.50","9.97M","1.36%"
"Mar 24, 2022","360.20","312.00","375.00","308.00","18.41M","16.97%"
"Feb 25, 2022","307.95","283.00","318.55","280.25","34.25M","12.10%"
"Feb 24, 2022","274.70","388.35","388.35","175.50","70.97M","-36.31%"
"Feb 22, 2022","431.30","438.65","457.00","395.80","79.55M","-1.69%"
"Feb 21, 2022","438.70","518.00","533.75","387.65","59.64M","-15.55%"
"Feb 18, 2022","519.50","550.05","556.10","513.15","17.36M","-5.46%"
"Feb 17, 2022","549.50","570.00","571.80","541.05","13.82M","-3.86%"
"Feb 16, 2022","571.55","566.80","575.80","563.85","7.72M","0.99%"
"Feb 15, 2022","565.95","557.75","574.45","555.55","9.42M","1.79%"
"Feb 14, 2022","556.00","547.25","562.45","532.65","11.83M","1.57%"
"Feb 11, 2022","547.40","569.40","572.65","540.00","13.23M","-3.86%"
"Feb 10, 2022","569.40","579.00","580.25","569.00","6.25M","-1.66%"
"Feb 09, 2022","579.00","571.00","582.50","569.05","10.68M","1.57%"
"Feb 08, 2022","570.05","569.85","574.95","563.55","7.77M","0.04%"
"Feb 07, 2022","569.80","570.00","577.70","562.75","5.98M","-0.38%"
"Feb 04, 2022","572.00","570.35","606.75","561.20","23.19M","0.53%"
"Feb 03, 2022","569.00","575.00","575.25","562.70","4.48M","-1.16%"
"Feb 02, 2022","575.70","576.00","580.25","568.90","4.81M","0.27%"
"Feb 01, 2022","574.15","576.95","583.90","570.05","7.30M","-0.49%"
"Jan 31, 2022","576.95","568.00","579.90","566.25","7.02M","1.84%"
"Jan 28, 2022","566.50","568.80","574.85","556.10","11.51M","0.59%"
"Jan 27, 2022","563.20","530.00","578.00","526.10","16.90M","5.72%"
"Jan 26, 2022","532.75","548.00","550.50","525.55","18.08M","-2.85%"
"Jan 25, 2022","548.40","545.00","556.00","522.70","15.17M","0.27%"
"Jan 24, 2022","546.90","564.45","566.80","523.95","16.39M","-3.17%"
"Jan 21, 2022","564.80","556.50","579.20","553.00","12.08M","0.55%"
"Jan 20, 2022","561.70","569.05","581.00","552.30","10.20M","-0.92%"
"Jan 19, 2022","566.90","537.00","575.40","523.10","19.05M","4.06%"
"Jan 18, 2022","544.80","592.65","598.70","525.10","28.06M","-8.06%"
"Jan 17, 2022","592.55","605.00","614.00","578.05","10.48M","-2.14%"
"Jan 14, 2022","605.50","602.35","611.00","580.50","11.07M","0.36%"
"Jan 13, 2022","603.30","625.65","627.30","596.20","10.21M","-3.89%"
"Jan 12, 2022","627.70","615.00","630.60","609.25","7.17M","2.30%"
"Jan 11, 2022","613.60","602.05","615.90","597.20","5.42M","1.93%"
"Jan 10, 2022","602.00","604.00","609.55","595.10","5.05M","0.07%"
"Jan 06, 2022","601.60","588.30","605.25","580.60","6.60M","1.91%"
"Jan 05, 2022","590.30","612.20","616.20","582.80","4.25M","-3.78%"
"Jan 04, 2022","613.50","610.90","617.00","605.55","2.37M","0.42%"
"Jan 03, 2022","610.95","599.90","614.35","598.80","3.16M","1.99%"
"Dec 30, 2021","599.00","592.00","601.60","589.10","3.43M","1.18%"
"Dec 29, 2021","592.00","596.65","600.00","586.30","4.52M","-0.70%"
"Dec 28, 2021","596.20","581.20","599.10","581.20","5.29M","2.44%"
"Dec 27, 2021","582.00","573.00","582.50","571.40","3.26M","1.74%"
"Dec 24, 2021","572.05","578.90","579.75","564.15","2.33M","-1.22%"
"Dec 23, 2021","579.10","582.95","583.00","571.15","3.64M","-0.10%"
"Dec 22, 2021","579.70","574.95","582.20","570.55","5.36M","0.82%"
"Dec 21, 2021","575.00","570.90","576.30","567.70","3.34M","1.31%"
"Dec 20, 2021","567.55","567.70","569.00","555.45","3.79M","-0.99%"
"Dec 17, 2021","573.20","573.00","575.00","563.05","4.60M","0.03%"
"Dec 16, 2021","573.00","564.00","579.65","561.95","7.11M","2.12%"
"Dec 15, 2021","561.10","551.00","561.90","547.00","4.99M","1.86%"
"Dec 14, 2021","550.85","538.70","557.95","503.15","9.99M","2.17%"
"Dec 13, 2021","539.15","573.40","577.85","536.60","8.62M","-5.76%"
"Dec 10, 2021","572.10","578.40","579.45","570.05","2.67M","-1.08%"
"Dec 09, 2021","578.35","576.00","580.30","570.00","4.30M","0.59%"
"Dec 08, 2021","574.95","591.00","595.15","569.00","8.78M","-2.48%"
"Dec 07, 2021","589.55","575.95","591.20","571.00","7.75M","2.43%"
"Dec 06, 2021","575.55","580.00","582.00","568.60","3.72M","-0.17%"
"Dec 03, 2021","576.55","584.00","584.45","573.00","5.53M","-0.94%"
"Dec 02, 2021","582.00","571.95","583.70","567.20","10.19M","2.11%"
"Dec 01, 2021","569.95","573.35","582.00","568.00","6.60M","0.68%"
"Nov 30, 2021","566.10","565.00","573.25","557.00","10.59M","-1.25%"
"Nov 29, 2021","573.25","567.00","579.00","559.40","7.69M","3.26%"
"Nov 26, 2021","555.15","578.55","578.55","555.00","9.21M","-6.05%"
"Nov 25, 2021","590.90","598.00","602.45","587.15","3.09M","-1.07%"
"Nov 24, 2021","597.30","604.30","605.00","586.20","5.43M","-0.77%"
"Nov 23, 2021","601.95","578.45","603.00","570.00","12.19M","3.61%"
"Nov 22, 2021","581.00","589.75","593.05","572.25","12.36M","-1.61%"
"Nov 19, 2021","590.50","617.80","618.30","590.00","8.02M","-3.84%"
"Nov 18, 2021","614.10","618.05","621.95","610.25","4.67M","-0.87%"
"Nov 17, 2021","619.50","621.00","626.70","618.55","4.42M","-0.30%"
"Nov 16, 2021","621.35","625.10","629.45","617.00","3.81M","-0.03%"
"Nov 15, 2021","621.55","617.80","629.40","614.45","3.98M","0.38%"
"Nov 12, 2021","619.20","633.60","637.40","611.40","7.94M","-2.41%"
"Nov 11, 2021","634.50","631.00","636.25","623.25","5.64M","0.75%"
"Nov 10, 2021","629.80","638.00","642.50","627.00","5.31M","-1.04%"
"Nov 09, 2021","636.40","632.50","637.95","629.30","4.36M","0.74%"
"Nov 08, 2021","631.70","633.05","636.50","628.35","5.02M","0.87%"
"Nov 05, 2021","626.25","612.95","626.75","605.20","4.56M","1.05%"
"Nov 03, 2021","619.75","627.10","627.95","615.45","5.04M","-1.66%"
"Nov 02, 2021","630.20","643.00","646.30","628.55","5.48M","-1.82%"
"Nov 01, 2021","641.90","637.30","643.25","633.00","3.59M","0.91%"
"Oct 29, 2021","636.10","640.05","643.00","628.40","4.39M","-0.80%"
"Oct 28, 2021","641.25","637.75","642.00","622.35","8.15M","0.45%"
"Oct 27, 2021","638.40","646.50","649.90","637.55","6.34M","-1.91%"
"Oct 26, 2021","650.80","655.45","665.70","649.30","8.83M","-0.65%"
"Oct 25, 2021","655.05","638.85","655.80","631.65","9.40M","3.24%"
"Oct 22, 2021","634.50","630.15","640.45","630.15","3.65M","0.19%"
"Oct 21, 2021","633.30","638.60","644.25","630.00","4.59M","-1.62%"
"Oct 20, 2021","643.70","639.65","644.70","633.50","5.60M","0.11%"
"Oct 19, 2021","643.00","641.00","643.00","634.75","5.67M","0.59%"
"Oct 18, 2021","639.25","646.75","647.65","637.70","5.04M","-0.96%"
"Oct 15, 2021","645.45","644.70","647.90","637.50","6.75M","0.78%"
"Oct 14, 2021","640.45","638.00","650.00","635.20","10.25M","1.20%"
"Oct 13, 2021","632.85","639.00","640.85","614.65","7.49M","-0.91%"
"Oct 12, 2021","638.65","637.50","643.20","633.10","4.95M","-0.45%"
"Oct 11, 2021","641.55","639.05","647.25","637.00","6.91M","1.67%"
"Oct 08, 2021","631.00","633.65","640.00","630.10","8.10M","-2.62%"
"Oct 07, 2021","647.95","647.60","651.85","630.15","11.24M","0.30%"
"Oct 06, 2021","646.00","660.85","663.35","631.60","16.15M","-1.41%"
"Oct 05, 2021","655.25","632.00","656.00","625.65","15.65M","3.73%"
"Oct 04, 2021","631.70","618.45","637.00","602.75","46.39M","2.14%"
